timestamp,equity,cash,market_value,drawdown
2023-09-21T00:00:00Z,100257.2407108176,100257.2407108176,0.0,0.037009820521942925
2023-09-22T00:00:00Z,100257.2407108176,100257.2407108176,0.0,0.037009820521942925
2023-09-23T00:00:00Z,100257.2407108176,100257.2407108176,0.0,0.037009820521942925
2023-09-24T00:00:00Z,100257.2407108176,100257.2407108176,0.0,0.037009820521942925
2023-09-25T00:00:00Z,100257.2407108176,100257.2407108176,0.0,0.037009820521942925
2023-09-26T00:00:00Z,100257.2407108176,100257.2407108176,0.0,0.037009820521942925
2023-09-27T00:00:00Z,100257.2407108176,100257.2407108176,0.0,0.037009820521942925
2023-09-28T00:00:00Z,100257.2407108176,100257.2407108176,0.0,0.037009820521942925
2023-09-29T00:00:00Z,100257.2407108176,100257.2407108176,0.0,0.037009820521942925
2023-09-30T00:00:00Z,100257.2407108176,100257.2407108176,0.0,0.037009820521942925
2023-10-01T00:00:00Z,100257.2407108176,100257.2407108176,0.0,0.037009820521942925
2023-10-02T00:00:00Z,100257.2407108176,100257.2407108176,0.0,0.037009820521942925
2023-10-03T00:00:00Z,100257.2407108176,100257.2407108176,0.0,0.037009820521942925
2023-10-04T00:00:00Z,100257.2407108176,100257.2407108176,0.0,0.037009820521942925
2023-10-05T00:00:00Z,100257.2407108176,100257.2407108176,0.0,0.037009820521942925
2023-10-06T00:00:00Z,100257.2407108176,100257.2407108176,0.0,0.037009820521942925
2023-10-07T00:00:00Z,100257.2407108176,100257.2407108176,0.0,0.037009820521942925
2023-10-08T00:00:00Z,100257.2407108176,100257.2407108176,0.0,0.037009820521942925
2023-10-09T00:00:00Z,100257.2407108176,100257.2407108176,0.0,0.037009820521942925
2023-10-10T00:00:00Z,100257.2407108176,100257.2407108176,0.0,0.037009820521942925
2023-10-11T00:00:00Z,100257.2407108176,100257.2407108176,0.0,0.037009820521942925
2023-10-12T00:00:00Z,100257.2407108176,100257.2407108176,0.0,0.037009820521942925
2023-10-13T00:00:00Z,100257.2407108176,100257.2407108176,0.0,0.037009820521942925
2023-10-14T00:00:00Z,100257.2407108176,100257.2407108176,0.0,0.037009820521942925
2023-10-15T00:00:00Z,100257.2407108176,100257.2407108176,0.0,0.037009820521942925
2023-10-16T00:00:00Z,100257.2407108176,100257.2407108176,0.0,0.037009820521942925
2023-10-17T00:00:00Z,100257.2407108176,100257.2407108176,0.0,0.037009820521942925
2023-10-18T00:00:00Z,100257.2407108176,100257.2407108176,0.0,0.037009820521942925
2023-10-19T00:00:00Z,100257.2407108176,100257.2407108176,0.0,0.037009820521942925
2023-10-20T00:00:00Z,100257.2407108176,100257.2407108176,0.0,0.037009820521942925
2023-10-21T00:00:00Z,100257.2407108176,100257.2407108176,0.0,0.037009820521942925
2023-10-22T00:00:00Z,100257.2407108176,100257.2407108176,0.0,0.037009820521942925
2023-10-23T00:00:00Z,100257.2407108176,100257.2407108176,0.0,0.037009820521942925
2023-10-24T00:00:00Z,100257.2407108176,100257.2407108176,0.0,0.037009820521942925
2023-10-25T00:00:00Z,100257.2407108176,100257.2407108176,0.0,0.037009820521942925
2023-10-26T00:00:00Z,100257.2407108176,100257.2407108176,0.0,0.037009820521942925
2023-10-27T00:00:00Z,100257.2407108176,100257.2407108176,0.0,0.037009820521942925
2023-10-28T00:00:00Z,100257.2407108176,100257.2407108176,0.0,0.037009820521942925
2023-10-29T00:00:00Z,100257.2407108176,100257.2407108176,0.0,0.037009820521942925
2023-10-30T00:00:00Z,100257.2407108176,100257.2407108176,0.0,0.037009820521942925
2023-10-31T00:00:00Z,100257.2407108176,100257.2407108176,0.0,0.037009820521942925
2023-11-01T00:00:00Z,100257.2407108176,100257.2407108176,0.0,0.037009820521942925
2023-11-02T00:00:00Z,100257.2407108176,100257.2407108176,0.0,0.037009820521942925
2023-11-03T00:00:00Z,100257.2407108176,100257.2407108176,0.0,0.037009820521942925
2023-11-04T00:00:00Z,100257.2407108176,100257.2407108176,0.0,0.037009820521942925
2023-11-05T00:00:00Z,100257.2407108176,100257.2407108176,0.0,0.037009820521942925
2023-11-06T00:00:00Z,100257.2407108176,100257.2407108176,0.0,0.037009820521942925
2023-11-07T00:00:00Z,100257.2407108176,100257.2407108176,0.0,0.037009820521942925
2023-11-08T00:00:00Z,100257.2407108176,100257.2407108176,0.0,0.037009820521942925
2023-11-09T00:00:00Z,100257.2407108176,100257.2407108176,0.0,0.037009820521942925
2023-11-10T00:00:00Z,100257.2407108176,100257.2407108176,0.0,0.037009820521942925
2023-11-11T00:00:00Z,100257.2407108176,100257.2407108176,0.0,0.037009820521942925
2023-11-12T00:00:00Z,100257.2407108176,100257.2407108176,0.0,0.037009820521942925
2023-11-13T00:00:00Z,100257.2407108176,100257.2407108176,0.0,0.037009820521942925
2023-11-14T00:00:00Z,100257.2407108176,100257.2407108176,0.0,0.037009820521942925
2023-11-15T00:00:00Z,100257.2407108176,100257.2407108176,0.0,0.037009820521942925
2023-11-16T00:00:00Z,100257.2407108176,100257.2407108176,0.0,0.037009820521942925
2023-11-17T00:00:00Z,100257.2407108176,100257.2407108176,0.0,0.037009820521942925
2023-11-18T00:00:00Z,100257.2407108176,100257.2407108176,0.0,0.037009820521942925
2023-11-19T00:00:00Z,100257.2407108176,100257.2407108176,0.0,0.037009820521942925
2023-11-20T00:00:00Z,100257.2407108176,100257.2407108176,0.0,0.037009820521942925
2023-11-21T00:00:00Z,100257.2407108176,100257.2407108176,0.0,0.037009820521942925
